dim,em_fit_time_sec_mean,em_fit_time_sec_std,em_init,eta_mean,eta_std,eval_samples_mean,eval_samples_std,fit_samples_mean,fit_samples_std,forward_kl_mean,forward_kl_std,gmm_components,importance_ess_frac_mean,importance_ess_frac_std,importance_logw_std_mean,importance_logw_std_std,importance_max_weight_frac_mean,importance_max_weight_frac_std,importance_weights,importance_weights_mean,importance_weights_std,method,mode_scale_mean,mode_scale_std,mode_tvd_mean,mode_tvd_std,n_seeds,our_eta_mean,our_eta_std,our_sigma_mean,our_sigma_std,our_steps_mean,our_steps_std,reverse_kl_mean,reverse_kl_std,sigma_mean,sigma_std,sliced_tvd_mean,sliced_tvd_std,sliced_w2_mean,sliced_w2_std,steps_mean,steps_std,target_modes,target_var_mean,target_var_std,train_time_sec_mean,train_time_sec_std
16,39.164273182551064,3.9188985968243433,kmeanspp,10.0,0.0,20000.0,0.0,30000.0,0.0,248.86738541484286,110.78653906585068,64,0.22965230897442868,0.07901631809457725,8.320226526272357,2.141729713634671,0.002095870520623542,0.0010912917878725993,False,0.0,0.0,bms_posthoc_kmeans,20.0,0.0,0.8377000000000002,0.027189090949619292,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,2.887526434511297,0.1767249699740806,2.5,0.0,0.623545,0.061441433300339,9.349760098026977,1.3189313058356658,50000.0,0.0,20,1.0,0.0,86.39509320259094,1.2000501950776918
16,39.836256424585976,4.797869545319935,our_init,10.0,0.0,20000.0,0.0,30000.0,0.0,182.36690303285937,56.67963542700579,64,0.23356197633500173,0.08443791386182005,11.573640516680022,1.6978782052332149,0.002079295258379644,0.0005822760596895525,False,0.0,0.0,bms_posthoc_ourinit,20.0,0.0,0.8380166666666667,0.02752581616511233,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,3.065324822063363,0.14403759465022525,2.5,0.0,0.623294,0.056328599942657896,9.702798412022991,1.4307930316235842,50000.0,0.0,20,1.0,0.0,86.39509320259094,1.2000501950776918
16,,,,10.0,0.0,20000.0,0.0,30000.0,0.0,112.13186976403749,6.078244063874172,64,0.0035436348427977916,0.0019462759023849616,4.833093103113239,1.4788483870520945,0.0774243232206155,0.028643717558123186,False,0.0,0.0,our_gmm,20.0,0.0,0.9014833333333335,0.028765874844258753,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,2.7786080778875473,0.14822976032605178,2.5,0.0,0.7833039999999999,0.03096721493235488,14.381341713618552,0.7694985381395271,50000.0,0.0,20,1.0,0.0,68.55975373586018,1.5389365210726922
16,,,,10.0,0.0,20000.0,0.0,30000.0,0.0,177.43474107011113,13.413729443846597,64,0.024383700782890715,0.016451995885137835,71.5631246655098,19.90767157491757,0.0372354584201955,0.04832129439558177,True,1.0,0.0,our_gmm_iw,20.0,0.0,0.94935,0.0005016638981098283,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,70.48684667257378,24.536639869121906,2.5,0.0,0.6521753333333334,0.03282012033883417,13.157798540215758,0.25692757231924096,50000.0,0.0,20,1.0,0.0,76.70953218142192,0.6901037634703919
16,38.991494258244835,2.513121649643504,target_samples,10.0,0.0,20000.0,0.0,30000.0,0.0,0.04803026140245581,0.0017030011663512882,64,0.9076553255635672,0.007066579184961237,0.34919789619004576,0.008480295992009711,0.00029870542702814404,4.3120269488568214e-05,False,0.0,0.0,oracle_em,20.0,0.0,0.011983333333333337,0.001551522549698277,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,0.05245869119337426,0.0003859823252136087,2.5,0.0,0.02533466666666667,0.0013892905463661013,0.38734575367409874,0.027013835104354966,50000.0,0.0,20,1.0,0.0,,
32,62.96794112523397,0.7058792019727601,kmeanspp,10.0,0.0,20000.0,0.0,30000.0,0.0,1178.6095806437927,124.09983882924574,64,0.12508643405757067,0.1256298645882384,8.788772084334687,5.842286259368257,0.008972654804825547,0.005566621284983528,False,0.0,0.0,bms_posthoc_kmeans,20.0,0.0,0.8925666666666667,0.025172251036056015,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,3.747017278068441,0.14597998710252916,2.5,0.0,0.7185088333333334,0.03798669862011646,11.732391846049156,1.2977034528287041,50000.0,0.0,20,1.0,0.0,87.54088958104451,0.4087153782031306
32,61.66130447387695,1.2280930602986895,our_init,10.0,0.0,20000.0,0.0,30000.0,0.0,1015.1608590052373,351.20365886331035,64,0.13726473998889568,0.14449033034961883,13.380124945896815,5.187005352136773,0.011658421576549989,0.010025705181717508,False,0.0,0.0,bms_posthoc_ourinit,20.0,0.0,0.8915833333333335,0.02364361553476031,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,3.718104567197298,0.17681651922326302,2.5,0.0,0.7205246666666666,0.043681820759772526,11.880751065590472,1.0079089470763596,50000.0,0.0,20,1.0,0.0,87.54088958104451,0.4087153782031306
32,,,,10.0,0.0,20000.0,0.0,30000.0,0.0,492.3840869808821,90.12347061923829,64,0.008708272642156793,0.01140318082367522,10.530264201329329,3.128631297487875,0.15216752986970236,0.10025287449280161,False,0.0,0.0,our_gmm,20.0,0.0,0.9084499999999999,0.05755901319515483,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,3.187618761854497,0.15959899102241276,2.5,0.0,0.7662493333333334,0.06049450778973433,12.704147936791225,1.13047446257059,50000.0,0.0,20,1.0,0.0,686.9236110051473,1.8435693541353582
32,,,,10.0,0.0,20000.0,0.0,30000.0,0.0,368.6393672810743,11.883325493356004,64,0.0005040184479909706,0.0004753511736950529,298.3029572711051,80.91960767763621,0.3349649280464518,0.16371772057189757,True,1.0,0.0,our_gmm_iw,20.0,0.0,0.9399666666666667,0.005131817958146549,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,175.34160250587684,43.45122153239959,2.5,0.0,0.6341170000000002,0.027417331079082136,13.264393635930796,1.3400347693618728,50000.0,0.0,20,1.0,0.0,729.4697063763937,9.513252449932528
32,69.991282304128,4.8856795775330095,target_samples,10.0,0.0,20000.0,0.0,30000.0,0.0,0.09420977192006037,0.003969197203630295,64,0.8341250461586376,0.002413723428286698,0.5250703368964232,0.009132110057261387,0.00042028439628223575,0.0001369260287796086,False,0.0,0.0,oracle_em,20.0,0.0,0.012966666666666666,0.002904689694652813,3,0.10000000000000002,1.3877787807814457e-17,1.0,0.0,50000.0,0.0,0.1093343562841984,0.003427950768067814,2.5,0.0,0.0255605,0.0011943720804953011,0.4213690196102598,0.03928982693796615,50000.0,0.0,20,1.0,0.0,,
