dim,em_fit_time_sec,em_init,eta,eval_samples,fit_samples,forward_kl,gmm_components,importance_ess_frac,importance_logw_std,importance_max_weight_frac,importance_weights,method,mode_scale,mode_tvd,our_eta,our_sigma,our_steps,reverse_kl,seed,sigma,sliced_tvd,sliced_w2,steps,target_modes,target_var,train_time_sec
16,33.636183738708496,kmeanspp,10.0,20000,30000,199.8094395912817,64,0.13831135941533626,6.98944918955156,0.0035862457401820524,False,bms_posthoc_kmeans,20.0,0.8631000000000002,0.1,1.0,50000,2.8958182780507356,0,2.5,0.6865400000000002,10.36165158162574,50000,20,1.0,84.95057368278503
16,33.72321915626526,our_init,10.0,20000,30000,139.91931911645085,64,0.14247590035867905,13.030191161741921,0.0026623430779985865,False,bms_posthoc_ourinit,20.0,0.8641000000000001,0.1,1.0,50000,3.195225986147921,0,2.5,0.6825264999999999,11.026113794164598,50000,20,1.0,84.95057368278503
16,,,10.0,20000,30000,119.55848584775855,64,0.0061088936470236836,4.36104120663229,0.03819745164819695,False,our_gmm,20.0,0.87535,0.1,1.0,50000,2.6132564699090572,0,2.5,0.7585490000000001,14.436543131681969,50000,20,1.0,66.780916929245
16,,,10.0,20000,30000,171.23662797632906,64,0.035450145678633915,57.32828903494705,0.003158635206941464,True,our_gmm_iw,20.0,0.9498000000000002,0.1,1.0,50000,52.60099884712021,0,2.5,0.6554395000000001,13.414219131753455,50000,20,1.0,76.1194851398468
16,40.721120834350586,target_samples,10.0,20000,30000,0.0484894236826736,64,0.9110043173029648,0.3400669437688918,0.0002764553975606151,False,oracle_em,20.0,0.011199999999999995,0.1,1.0,50000,0.05192400124170247,0,2.5,0.026333000000000002,0.41105591728436425,50000,20,1.0,
16,42.27010679244995,kmeanspp,10.0,20000,30000,402.2585883281382,64,0.21957342512028627,6.629286904803174,0.0016977606083584031,False,bms_posthoc_kmeans,20.0,0.8500000000000001,0.1,1.0,50000,3.099704359130614,1,2.5,0.6438769999999999,10.200806030238637,50000,20,1.0,86.34585881233215
16,40.34279274940491,our_init,10.0,20000,30000,262.476377231758,64,0.21223097587451775,9.192177133616857,0.0022913679575337215,False,bms_posthoc_ourinit,20.0,0.8500000000000001,0.1,1.0,50000,3.136258413809062,1,2.5,0.639808,10.366802951142997,50000,20,1.0,86.34585881233215
16,,,10.0,20000,30000,104.67001446906754,64,0.003125048427354348,6.8335918006761345,0.0882837174656258,False,our_gmm,20.0,0.8875500000000001,0.1,1.0,50000,2.7496943345451816,1,2.5,0.7643949999999999,13.412514887821512,50000,20,1.0,68.36321949958801
16,,,10.0,20000,30000,165.00705449596768,64,0.0011261278269187422,99.71623054251897,0.10557200671682518,True,our_gmm_iw,20.0,0.94865,0.1,1.0,50000,105.18132160216189,1,2.5,0.6104465,12.806644246314237,50000,20,1.0,76.33131861686707
16,40.8155403137207,target_samples,10.0,20000,30000,0.049848165783470254,64,0.8978265055150614,0.3604970497822702,0.0003590009471759338,False,oracle_em,20.0,0.010600000000000002,0.1,1.0,50000,0.052821186181043416,1,2.5,0.023370000000000002,0.3495485818076631,50000,20,1.0,
16,41.58652901649475,kmeanspp,10.0,20000,30000,144.5341283251087,64,0.33107214238766347,11.341943484462337,0.0010036052133301685,False,bms_posthoc_kmeans,20.0,0.8,0.1,1.0,50000,2.6670566663525404,2,2.5,0.540218,7.486822682216557,50000,20,1.0,87.88884711265564
16,45.44275736808777,our_init,10.0,20000,30000,144.70501275036932,64,0.3459790527718084,12.498553254681289,0.0012841747396066248,False,bms_posthoc_ourinit,20.0,0.7999499999999999,0.1,1.0,50000,2.8644900662331056,2,2.5,0.5475475,7.715478490761378,50000,20,1.0,87.88884711265564
16,,,10.0,20000,30000,112.16710897528638,64,0.0013969624540153425,3.3046463020312897,0.10579180054802377,False,our_gmm,20.0,0.9415500000000001,0.1,1.0,50000,2.972873429208404,2,2.5,0.8269679999999999,15.294967121352174,50000,20,1.0,70.53512477874756
16,,,10.0,20000,30000,196.06054073803662,64,0.03657482884311948,57.64485441906339,0.0029757333368198705,True,our_gmm_iw,20.0,0.9496000000000001,0.1,1.0,50000,53.67821956843919,2,2.5,0.69064,13.252532242579584,50000,20,1.0,77.67779278755188
16,35.43782162666321,target_samples,10.0,20000,30000,0.04575319474122359,64,0.9141351538726753,0.3470296950189752,0.00026065993634788323,False,oracle_em,20.0,0.014150000000000013,0.1,1.0,50000,0.05263088615737689,2,2.5,0.026300999999999998,0.40143276193026894,50000,20,1.0,
32,63.29840540885925,kmeanspp,10.0,20000,30000,1252.5750087583992,64,0.03812250422474813,4.125009963611044,0.011080940474311466,False,bms_posthoc_kmeans,20.0,0.919,0.1,1.0,50000,3.681815736621868,0,2.5,0.770614,13.129527962531236,50000,20,1.0,88.11880922317505
32,62.220465660095215,our_init,10.0,20000,30000,1461.3672973938305,64,0.05460604972778157,6.080472920696985,0.0077534512753216645,False,bms_posthoc_ourinit,20.0,0.9154000000000001,0.1,1.0,50000,3.5495131425601465,0,2.5,0.7809860000000001,13.011577911835188,50000,20,1.0,88.11880922317505
32,,,10.0,20000,30000,577.7827781695453,64,0.0005308304014522487,7.325499934179185,0.2250458140999246,False,our_gmm,20.0,0.94945,0.1,1.0,50000,3.0092797602599304,0,2.5,0.8098489999999999,13.739779983439355,50000,20,1.0,689.3604588508606
32,,,10.0,20000,30000,352.0480475499527,64,0.0001969901988783321,309.22561757679364,0.38597987930781963,True,our_gmm_iw,20.0,0.9380000000000001,0.1,1.0,50000,211.66993413933656,0,2.5,0.595747,12.24296256164418,50000,20,1.0,742.7365252971649
32,63.190123081207275,target_samples,10.0,20000,30000,0.09973973130529587,64,0.8313258716410915,0.5122837684945671,0.0005755464289161677,False,oracle_em,20.0,0.0127,0.1,1.0,50000,0.11405089806057359,0,2.5,0.026739500000000006,0.45941625140088527,50000,20,1.0,
32,61.98693132400513,kmeanspp,10.0,20000,30000,1003.7936645666772,64,0.034395933483805326,17.027044197241384,0.01448716917285453,False,bms_posthoc_kmeans,20.0,0.8587,0.1,1.0,50000,3.9492553212185886,1,2.5,0.7037820000000002,12.064386440557257,50000,20,1.0,87.24303841590881
32,59.95770740509033,our_init,10.0,20000,30000,603.1373503926528,64,0.016755155809935664,16.40237863765211,0.025414954837705277,False,bms_posthoc_ourinit,20.0,0.85935,0.1,1.0,50000,3.9623340810071705,1,2.5,0.7012699999999998,12.066831921391138,50000,20,1.0,87.24303841590881
32,,,10.0,20000,30000,367.74782911782654,64,0.024834264140219588,14.77454246977216,0.010407330829357369,False,our_gmm,20.0,0.8270499999999998,0.1,1.0,50000,3.396597099077764,1,2.5,0.6807025,11.131553043867969,50000,20,1.0,686.5079643726349
32,,,10.0,20000,30000,374.6185169790906,64,0.00013961525464315056,391.4950405358346,0.5050420737558341,True,our_gmm_iw,20.0,0.9349,0.1,1.0,50000,200.0983199458267,1,2.5,0.6484675000000002,15.157516021657168,50000,20,1.0,720.900684595108
32,72.33688688278198,target_samples,10.0,20000,30000,0.0906102554935631,64,0.8372165429001048,0.5330355315672549,0.00044287005498902125,False,oracle_em,20.0,0.009549999999999993,0.1,1.0,50000,0.10600554690824965,1,2.5,0.023923499999999997,0.3672763024144317,50000,20,1.0,
32,63.618486642837524,kmeanspp,10.0,20000,30000,1279.4600686063018,64,0.3027408644641585,5.2142620921516265,0.0013498547673106442,False,bms_posthoc_kmeans,20.0,0.9000000000000001,0.1,1.0,50000,3.6099807763648672,2,2.5,0.6811304999999999,10.00326113505898,50000,20,1.0,87.26082110404968
32,62.80574035644531,our_init,10.0,20000,30000,980.9779292292282,64,0.34043301442896984,17.65752327934135,0.001806858616623027,False,bms_posthoc_ourinit,20.0,0.9000000000000001,0.1,1.0,50000,3.6424664780245766,2,2.5,0.679318,10.56384336354509,50000,20,1.0,87.26082110404968
32,,,10.0,20000,30000,531.6216536552745,64,0.00075972338479854,9.490750200036642,0.22104944467982507,False,our_gmm,20.0,0.94885,0.1,1.0,50000,3.1569794262257957,2,2.5,0.8081965000000002,13.241110783066357,50000,20,1.0,684.9024097919464
32,,,10.0,20000,30000,379.2515373141797,64,0.001175449890451429,194.18821370068687,0.11387283107570163,True,our_gmm_iw,20.0,0.947,0.1,1.0,50000,114.2565534324673,2,2.5,0.6581365000000001,12.392702324491038,50000,20,1.0,724.771909236908
32,74.44683694839478,target_samples,10.0,20000,30000,0.09227932896132221,64,0.8338327239347162,0.5298917106274478,0.0002424367049415184,False,oracle_em,20.0,0.016650000000000005,0.1,1.0,50000,0.10794662388377192,2,2.5,0.026018499999999996,0.43741450501546253,50000,20,1.0,
