name,feet_y_dev_m,stance_width_m,leg_length_m,z_extension_m,swing_height_m,min_target_z_m,max_target_z_m,z_extension_over_leg,swing_over_leg,stance_width_over_leg
NAO type 4 FCPy Walk_RL3,0.06160000000000001,0.12320000000000002,0.22,0.154,0.02,-0.154,-0.134,0.7,0.09090909090909091,0.56
T1 current fcp_dribbling,0.10625,0.2125,0.5162691459247273,0.5075848547926856,0.045,-0.5075848547926856,-0.4625848547926856,0.98317875239961,0.0871638376130288,0.4116070109504138
T1 leg-scaled crouch candidate,0.10625,0.2125,0.5162691459247273,0.3883884021473091,0.045,-0.3883884021473091,-0.3433884021473091,0.7522983025678173,0.0871638376130288,0.4116070109504138
