seed,em_init,bms_train_time_sec,our_gmm_train_time_sec,bms_mode_tvd,posthoc_gmm_mode_tvd,our_gmm_mode_tvd,bms_sliced_w2,posthoc_gmm_sliced_w2,our_gmm_sliced_w2,posthoc_gmm_forward_kl_est,our_gmm_forward_kl_est,dead_component_weight_threshold,posthoc_dead_components,posthoc_alive_components,posthoc_effective_components,posthoc_min_component_weight,posthoc_max_component_weight,our_dead_components,our_alive_components,our_effective_components,our_min_component_weight,our_max_component_weight
0,our_init,36.01131319999695,12.690565347671509,0.11749999940395356,0.12609999940395358,0.39474999135732647,1.97333543750655,2.0169039181544672,5.067481220711851,0.19761450725625082,0.5445991176389399,0.001,1,31,19.586548712127648,3.861953518809032e-05,0.11749407648655526,15,17,11.497215015999638,4.289850711024583e-05,0.16662208440522466
1,our_init,35.52250289916992,12.780869007110596,0.12405000149011612,0.11705000149011613,0.26924999463558197,2.6452647519323804,2.5456919511821,3.456043072122405,0.174961746119553,0.23393628848929693,0.001,3,29,17.071834956760455,1.9995848663290085e-05,0.14897109644371934,14,18,13.528894719126903,2.001596059556893e-05,0.12075264431445051
2,our_init,35.72426795959473,13.476060628890991,0.1735499997019768,0.16709999970197678,0.17449999403953553,2.360238847557141,2.5308494834373683,2.38018477278875,0.21191781558721076,0.07873576776723473,0.001,5,27,16.308989091880868,1.9975204892673016e-05,0.1761675182750693,13,19,12.857304348817879,3.7613783924862145e-05,0.16342947199216054
3,our_init,36.26313900947571,13.418919324874878,0.1574999961256981,0.15534999612569808,0.21224999672174455,2.792427215790026,2.8235148929360525,3.417860974274141,0.2568321907727039,0.13482410651131194,0.001,4,28,16.77572982140124,0.0001321722673843315,0.15418218167321124,15,17,12.768872575386322,1.4489021339603483e-05,0.13958669092568568
4,our_init,35.983243227005005,12.665704488754272,0.12384999612569808,0.12299999612569806,0.22084999850988388,1.9802975285069573,2.027741696091257,3.27738708761402,0.16736020789799436,0.1112975233399654,0.001,1,31,20.382932788537353,0.00025278295027643947,0.1462939387560226,9,23,16.68347304604064,4.290450482130215e-05,0.17973180852450657
