step,ball_x,ball_y,ball_vx,ball_vy,ball_speed,root_height
1,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5540243103415983
2,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5774995872491602
3,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5961119313779505
4,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6085501097246042
5,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6147254415478184
6,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6154620772197501
7,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6115587115741781
8,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6026088296912594
9,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5877340244561523
10,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5666268180204909
11,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5398230088556314
12,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5082192239767322
13,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4733043061757729
14,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.43622576021363535
15,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3987350954033581
16,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3615691205486769
17,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3246168871346173
18,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2900309154409404
19,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.25784001804598067
20,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.22751696638745386
21,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2010997908306948
22,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.1782370279038064
23,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.1587577299849941
24,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.14366330400222194
25,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.1324861189687939
26,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.12488396263383382
27,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.12100532832017107
28,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.12069055325522789
29,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.12377982505437472
30,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.13020088954382691
31,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.13999497972004918
32,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.15311900525754452
33,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.16967371356845978
34,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.1892739007255322
35,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2120939660277742
36,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.23830612089171221
37,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2676200309943174
38,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.30014537701807686
39,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3351884129465453
40,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3731917159629895
41,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.413014672932008
42,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.45415881246069467
43,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4967695070696482
44,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5379910130457684
45,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5736731935075774
46,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6028421381431218
47,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6211968594363635
48,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6295710233089487
49,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6295026598106355
50,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6228115357737867
51,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6107900970031
52,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5945184468212559
53,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5750370802623651
54,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5531747684450465
55,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5295897171374575
56,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5052431205088511
57,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.48021750933655166
58,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4543223219641336
59,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.42749034229371935
60,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4004014691363964
61,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3733588149338774
62,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.346414968732585
63,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.32028457171106806
64,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2958182358103162
65,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2729589869686435
66,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2518576992039672
67,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.23261482328822464
68,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.21525995973505893
69,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.20059162085705454
70,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.18956365428496477
71,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.18246572536000377
72,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.17936745101315105
73,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.18040541429325924
74,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.18549696301590565
75,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.19449192167885831
76,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2071052759279651
77,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.222974957340387
78,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.24187049023587284
79,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.26366756350435033
80,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2882271437371837
81,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3150470188677327
82,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.34398189722739514
83,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.37488281698317394
84,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4072615712926258
85,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4408695253097445
86,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.47542395158822826
87,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5100960254554023
88,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5435498816628165
89,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.571690557591447
90,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5912685446863548
91,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6038257108871946
92,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6112627191226292
93,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6151379818791851
94,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6164350028186036
95,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6156041094808149
96,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6128704938391796
97,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6082859235705764
98,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6017913811118115
99,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5930791903278954
100,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.582201392003947
101,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5693013299360083
102,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5544683600517705
103,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5380434196296064
104,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5205088063381947
105,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5024127242679132
106,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.48439665126497206
107,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4669757284823746
108,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.45075906930098614
109,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4364632784555383
110,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.42470677430019876
111,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4157849720264875
112,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4103199179055316
113,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4082639623997661
114,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.40972736082428485
115,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.41496172936786785
116,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.42353590441839495
117,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.43511980277997486
118,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.44944229008797043
119,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4660730117372119
120,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.48470358284589504
121,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5047329584263537
122,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5257581814852058
123,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5469575237939702
124,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.567158741215995
125,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5843263088547709
126,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5979585537065658
127,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6079584959259168
128,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6148308115485656
129,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.619100924601965
130,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6205945097016775
131,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6190465983522528
132,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6145645535539193
133,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6073814793463347
134,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5977525886053413
135,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5861634475326921
136,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5732268827493024
