step,ball_x,ball_y,ball_vx,ball_vy,ball_speed,root_height,fell
1,0.14447158170907598,7.650099129838279e-05,0.040452013976506905,0.0020263500744258146,0.040502734838275246,0.6297814649594677,0.0
2,0.14538614667310665,0.00012160605604498404,0.04799562264146307,0.0018479871335487746,0.04803118621466145,0.6291719710751948,0.0
3,0.1467785186142939,0.0003697310252863462,0.07296539386800673,0.01470462321375539,0.07443234946024388,0.6285087319536209,0.0
4,0.14842983743372182,0.0007307967097382116,0.0779087900743409,0.01119295830074965,0.07870871544098557,0.6277819371109478,0.0
5,0.15030187563153033,0.0024058624266944423,0.09027295515780799,0.10651670143018309,0.13962454696968718,0.6269578682980397,0.0
6,0.15272300065575561,0.0037387422725942586,0.11913354254828479,0.07415867706865682,0.14032929253964516,0.6260753495052273,0.0
7,0.1555266878348905,0.004631317669786731,0.14887018168756933,0.013866293522434783,0.14951456481473707,0.6251513552812369,0.0
8,0.15797720125789075,0.004854267441838915,0.12190135128425664,-0.005433397701126797,0.12202238014194916,0.6241070597634235,0.0
9,0.16076323861513347,0.003848466329557082,0.14776353899355232,-0.0648842848825324,0.16138164046946815,0.6233476701461076,0.0
10,0.16389484797047446,0.003178415590516466,0.162210795889109,-0.0232751764867113,0.16387213351715946,0.6229234006007419,0.0
11,0.16640054131698503,0.0031330123879419226,0.11264571882350027,0.0037491281795345235,0.11270809168542276,0.6227650112065728,0.0
12,0.16872058248440153,0.0034421191586315957,0.1271180354333276,0.026897850445152156,0.12993263366452054,0.6229533994953047,0.0
13,0.1692793615443483,0.00396100214135926,-0.0035064509745429745,0.021564734762641147,0.021847951478798575,0.6236482589354548,0.0
14,0.16928067150321954,0.004787025439103149,0.0018324258510832893,0.05342058857006781,0.05345200714353183,0.6247915395093114,0.0
15,0.1695762461607856,0.005851835832891864,0.028885196207930636,0.0252103429769422,0.03833948295146544,0.6261547109964887,0.0
16,0.17059237622920048,0.005642471935121965,0.06413451904057003,-0.005605401049961288,0.06437901097016129,0.6274055024502021,0.0
17,0.1722980333697663,0.00534973858114069,0.09426158156612013,-0.013248587797673649,0.09518808138616403,0.6282198906961687,0.0
18,0.17432373128238976,0.005106932921400172,0.10375968415041283,-0.009774368028159473,0.10421904972385489,0.6283454746690385,0.0
19,0.1764134579613757,0.004275675066951255,0.10415181843126904,-0.052187867458659276,0.11649538528380693,0.6277058017294831,0.0
20,0.1785222877372169,0.0034537337274752463,0.1056610847611559,-0.030746923107197337,0.11004380088612024,0.6266949520485674,0.0
21,0.1807017059944511,0.003002429666184312,0.11044402157994712,-0.02130614116435252,0.11248036963873805,0.6258553658151202,0.0
22,0.1829303123416907,0.002581839747874508,0.1113728357606973,-0.021108802455200668,0.11335559133307867,0.6255776582516196,0.0
23,0.1851574787361116,0.0021586802350066557,0.11135628949273968,-0.02116939606210443,0.11335063537195143,0.6256375790861048,0.0
24,0.18738458471961447,0.0017352204134040686,0.11135426393821365,-0.02117387057982665,0.11334948121871842,0.6257221612625963,0.0
25,0.1896116063131304,0.0013117394104117928,0.11134885532099958,-0.021174016039480353,0.11334419498385027,0.6254163623175367,0.0
26,0.1918384973761325,0.0008882642902917989,0.11134186775775767,-0.021173566723823117,0.11333724649731962,0.6248437392795839,0.0
27,0.1940652417232695,0.00046480061329391047,0.11133440000639154,-0.02117293940031616,0.11332979302739707,0.624226026835782,0.0
28,0.1962918350827137,4.1350749747712226e-05,0.11132682545740162,-0.02117221515194721,0.11332221653701939,0.6236698356644205,0.0
29,0.1985182769339118,-0.00038208364701982023,0.1113192563542765,-0.021171413331318615,0.11331463090755167,0.6231663865893744,0.0
30,0.20074456783864777,-0.000805501078565913,0.11131172385827903,-0.021170537205260277,0.11330706736060675,0.6229708545688672,0.0
31,0.2029707086383963,-0.0012289000460478689,0.11130423525201429,-0.021169585476599175,0.11329953280701019,0.623233363948757,0.0
32,0.20519670022146222,-0.0016522790058697973,0.11129679095832319,-0.021168555541940626,0.11329202717469979,0.6240075101623991,0.0
