step,ball_x,ball_y,ball_vx,ball_vy,ball_speed,root_height
1,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5540243103206309
2,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.57749958719652
3,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5961119313329127
4,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6085501098479167
5,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6147254420834373
6,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6154620786397376
7,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6115587142705382
8,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.6026088339175356
9,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5877340307624559
10,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5666268274303744
11,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.539823023058025
12,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.5082192466412478
13,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4733043514912812
14,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.4362258445650846
15,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3987352379625221
16,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.36156935259621387
17,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.3246172753060628
18,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.2900315569524169
19,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.257841059803247
20,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.22751857473266554
21,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.20110206996532004
22,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.17824045739235625
23,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.15876301810492613
24,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.14367086566823703
25,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.1324964160657167
26,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.12489785136082251
27,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.12102654095106927
28,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.12072251518045919
29,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.12384379405838492
30,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.1302409342297855
31,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.14000714710624604
32,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.1532317684661434
33,0.724126317331655,-0.0012318272235152623,0.0,0.0,0.0,-0.16974356029662527
