step,ball_x,ball_y,ball_vx,ball_vy,ball_speed,root_height,fell
1,0.1444715817085818,7.650100185212311e-05,0.040452013961933916,0.0020263508453167295,0.040502734862288156,0.629781464942585,0.0
2,0.14529343358519062,0.0001374980691430593,0.0385495945582141,0.0015299850809034161,0.03857994420616076,0.6291945449358523,0.0
3,0.14618721976370275,0.00013845080774213162,0.04755491470193355,-0.0002801352971808829,0.04755573980176212,0.6285057075015359,0.0
4,0.14722411241996086,0.0001353613416401057,0.054687777792608014,3.466836051455445e-05,0.054687788781307395,0.6277670718279267,0.0
5,0.14843769114451136,0.00013852185314976463,0.0645701678328349,0.00020179904518474279,0.0645704831700608,0.6270502877946644,0.0
6,0.1498692037273706,0.00014380370671267676,0.07585381631297788,0.0002811331989240454,0.07585433728613365,0.6264190641416659,0.0
7,0.15153371546109717,0.00014816972167985368,0.0877442933066927,0.00017694285968508823,0.08774447171569563,0.6259176787351085,0.0
8,0.15344508753609604,0.00015165343882564826,0.10021697951640268,0.00018380195863759995,0.10021714806634179,0.6255801141932207,0.0
9,0.15559790957785655,0.00015535690432327812,0.1121136167323974,0.00018733758799382362,0.11211377324927913,0.6253990884064974,0.0
10,0.15799033270523308,0.0001591913371501647,0.12414557387436352,0.00019430610300614853,0.12414572593310137,0.6253302825502399,0.0
11,0.16061299764891476,0.00016279464266251935,0.1374782778396326,0.00015490641101913177,0.13747836511155997,0.6253269259679368,0.0
12,0.16350317281914142,0.0001657225517627772,0.14872984994624122,0.00014374965294762455,0.14872991941433356,0.6253658529242497,0.0
13,0.1666464011747686,0.00016868145802393874,0.1619134106388545,0.00015381004015125306,0.1619134836949498,0.6254201040914,0.0
14,0.1700316968611298,0.00017158956187714975,0.17506160111395988,0.00013985719665671287,0.17506165698010132,0.6254555756593362,0.0
15,0.17367553040784522,0.00017461393896380084,0.18668571779383092,0.00017874849901380234,0.18668580336818272,0.6254586236885602,0.0
16,0.1764977915680857,6.252661672568638e-05,0.12515414194330635,-0.006861117384259681,0.12534206866541603,0.6254339350209552,0.0
17,0.17903864641522335,-7.832033861919293e-05,0.12755950947869849,-0.007072828867147411,0.12775544358903115,0.6253862626256019,0.0
18,0.18159358881153717,-0.00021985122579167298,0.1277884031412588,-0.007077467626204502,0.12798424326999341,0.6253172759410561,0.0
19,0.1841495368336587,-0.0003614087195116359,0.12779797239661886,-0.007078015273029864,0.12799382816719015,0.6252230084345253,0.0
20,0.18670541811874064,-0.0005029710522328696,0.1277911664108883,-0.0070781571948568284,0.1279870404452359,0.6251036343394848,0.0
21,0.18926112859257904,-0.000644534823179464,0.12778200921681993,-0.007078200907657745,0.12797789968419007,0.6249624412045846,0.0
22,0.19181664733576254,-0.000786099026405736,0.12777226036461314,-0.007078213869456078,0.12796816647222953,0.6248048345496129,0.0
23,0.19437196909984944,-0.0009276633755918484,0.12776238158318262,-0.007078219359443223,0.12795830311905187,0.6246372621022092,0.0
24,0.19692709337571565,-0.001069227830940125,0.12775251898429102,-0.007078225029240353,0.12794845593595963,0.6244658491421496,0.0
25,0.19948202108854748,-0.001210792425898364,0.1277427135686994,-0.007078232880484584,0.1279386659716489,0.6242945378194997,0.0
26,0.20203675348458514,-0.0013523572069217029,0.1277329712140699,-0.007078243014518827,0.1279289391003732,0.6241247991587889,0.0
27,0.2045912917654786,-0.0014939222139026154,0.1277232864048954,-0.007078254932331411,0.1279192697874484,0.6239563331498812,0.0
28,0.2071456369699957,-0.0016354874741957924,0.1277136499187701,-0.0070782679578407365,0.12790964878716993,0.6237879053977068,0.0
29,0.2096997899343513,-0.0017770530009815744,0.1277040512411932,-0.0070782813714239615,0.1279000655613059,0.6236175919744028,0.0
30,0.2122537512772902,-0.0019186187930032518,0.12769447933559983,-0.007078294452828607,0.12789050905032348,0.6234428853445131,0.0
31,0.21480752139349757,-0.0020601848347714786,0.12768492292106676,-0.007078306496840326,0.12788096795153675,0.6232604365868354,0.0
32,0.21736110045051119,-0.0022017510969671644,0.12767537060769507,-0.007078316820959257,0.12787143085470717,0.6230659071529272,0.0
33,0.21991448838776512,-0.0023433175369641157,0.12766581099204968,-0.007078324770716602,0.12786188633763187,0.6228555711168968,0.0
34,0.22246768491738164,-0.0024848840994471755,0.12765623274150872,-0.00707832972421871,0.12785232305061572,0.622625354708427,0.0
35,0.22502068952660273,-0.0026264507171166,0.1276466246752244,-0.0070783310963429295,0.12784272979754094,0.6223731019021349,0.0
36,0.2275735014818196,-0.0027680173114731864,0.1276369758434827,-0.007078328342684808,0.12783309561532427,0.6220905131856045,0.0
37,0.23012611983417203,-0.0029095837936793907,0.12762727560563722,-0.007078320963268459,0.12782340985193724,0.6217639594550534,0.0
38,0.23267854342668573,-0.003051150065491583,0.12761751370637112,-0.0070783085060094056,0.1278136622427433,0.6213851375204168,0.0
39,0.23523077090291053,-0.0031927160202582993,0.12760768034993597,-0.007078290569914317,0.12780384298480063,0.6209402067560194,0.0
40,0.23778280071701371,-0.003334281543979019,0.127597766271999,-0.007078266808001861,0.12779394280876127,0.6204132286170166,0.0
41,0.24033463114527662,-0.0034758465164177166,0.12758776280873405,-0.007078236929929905,0.12778395304800208,0.6197898014998638,0.0
42,0.24288626029893468,-0.003617410812265137,0.12757766196280415,-0.007078200704315672,0.127773865704635,0.6190571573190593,0.0
43,0.2454376861382946,-0.0037589743023435044,0.12756745646589843,-0.007078157960737133,0.1277636735120591,0.6182039691342195,0.0
44,0.24798890648805547,-0.003900536854847166,0.12755713983750247,-0.00707810859140531,0.12775336999373396,0.617218511379672,0.0
45,0.25053991905375533,-0.004042098336612468,0.12754670643960137,-0.00707805255249912,0.12774294951787277,0.6160900914356473,0.0
46,0.25309072143925737,-0.004183658614410042,0.12753615152703365,-0.007077989865155926,0.12773240734777427,0.614810616937431,0.0
47,0.25564131116518624,-0.004325217556252532,0.1275254712932375,-0.007077920616112817,0.12772173968753453,0.6133740500200725,0.0
48,0.25819168568821926,-0.0044667750327107595,0.1275146629111534,-0.007077844957995435,0.127710943722903,0.6117803432642074,0.0
49,0.2607418424211323,-0.0046083309182312305,0.12750372456907208,-0.007077763109252997,0.12770001765707198,0.6100297252105777,0.0
50,0.26329177875349796,-0.004749885092447929,0.12749265550124242,-0.0070776753537399525,0.1276889607412145,0.6081358807617931,0.0
51,0.2658414920729284,-0.004891437441481351,0.12748145601308108,-0.0070775820399466005,0.12767777329961275,0.6060993329578546,0.0
52,0.2683909797867531,-0.005032987859217804,0.1274701275008528,-0.007077483579882767,0.12766645674924632,0.603843705675385,0.0
53,0.27094023934402073,-0.005174536248562111,0.12745867246571893,-0.007077380447620438,0.12765501361373857,0.6014797293519695,0.0
54,0.27348926825771,-0.005316082522656984,0.12744709452208064,-0.007077273177503053,0.12764344753158763,0.5990955636349168,0.0
55,0.27603806412703624,-0.005457626606062509,0.1274353984001721,-0.007077162362030801,0.12763176325863845,0.5967011875440781,0.0
56,0.2785866246597368,-0.005599168435889427,0.12742358994288888,-0.007077048649432983,0.12761996666478148,0.5942115807110158,0.0
57,0.2811349476942225,-0.005740707962880066,0.12741167609686588,-0.007076932740940112,0.1276080647248929,0.5918217702998654,0.0
58,0.2836830312214777,-0.005882245152431133,0.12739966489784857,-0.0070768153877698945,0.12759606550406122,0.5897170831319101,0.0
59,0.28623087340659853,-0.006023779985552807,0.12738756545043,-0.007076697387842737,0.1275839781371732,0.5878399151733551,0.0
60,0.2887784726098555,-0.006165312459758951,0.1273753879022552,-0.007076579582243772,0.12757181280296134,0.5862248764614648,0.0
