step,ball_x,ball_y,ball_vx,ball_vy,ball_speed,root_height,fell
1,0.14447158170907598,7.650099129838279e-05,0.040452013976506905,0.0020263500744258146,0.040502734838275246,0.6297814649594677,0.0
2,0.14529343357838406,0.00013749804980081994,0.038549593700530425,0.0015299848419194186,0.03857994333967429,0.629194545020491,0.0
3,0.14618721975444035,0.00013845078909692358,0.04755491451395606,-0.0002801348426553396,0.04755573961111044,0.6285057077436044,0.0
4,0.14722411240840144,0.00013536133527981814,0.05468777780954646,3.4669259111372986e-05,0.054687788798815494,0.6277670723564515,0.0
5,0.1484376911403195,0.00013852188637322846,0.0645701680711199,0.00020180205952791494,0.06457048341776528,0.6270502888337751,0.0
6,0.14986920362372538,0.00014380374513938123,0.0758538097631581,0.00028113115093138024,0.07585433072876857,0.6264190657644831,0.0
7,0.15153371533453963,0.0001481698654045766,0.08774429508115067,0.00017695516109797723,0.08774447351495751,0.6259176813806124,0.0
8,0.15344508740816878,0.00015165395357704094,0.10021697790690937,0.0001838210188401486,0.10021714649181011,0.6255801185750206,0.0
9,0.1555979094735962,0.00015535775674074893,0.1121136182921858,0.00018735518166767846,0.11211377483846503,0.6253990960420688,0.0
10,0.15799033260347023,0.000159192589380762,0.12414556646583587,0.0001943350751399932,0.12414571856993177,0.6253302968477141,0.0
11,0.16061299732603387,0.0001627967704276107,0.13747826460175958,0.00015495546804874443,0.13747835192898006,0.6253269533339684,0.0
12,0.1635031733177737,0.0001657259117418486,0.14872995575585493,0.0001438200190283217,0.14873002529192428,0.6253659000235856,0.0
13,0.16664646061154031,0.00016868637736209936,0.16191589449910546,0.00015394587277881296,0.16191596768316951,0.625420164535525,0.0
14,0.1700317768253755,0.00017160110825249598,0.175061509294315,0.00014037894161178052,0.1750615655780868,0.6254556678748885,0.0
15,0.17367561848744725,0.00017463575106651982,0.18668700256455403,0.00017911943659853382,0.18668708849384943,0.6254587810229987,0.0
16,0.17649788014110399,6.255620045728982e-05,0.1251538004588307,-0.006860687534912488,0.12534170416401924,0.6254342016511408,0.0
17,0.17903872667353166,-7.828234045878416e-05,0.12755907793236057,-0.007072409727542428,0.12775498950063857,0.6253866744240991,0.0
18,0.18159366039457983,-0.0002198048522210591,0.1277879695612999,-0.007077048971946266,0.1279837872027197,0.6253178702229591,0.0
19,0.18414959976325843,-0.0003613539742026812,0.1277975401664517,-0.007077596709482016,0.12799337345260461,0.6252239439084305,0.0
20,0.18670547241161364,-0.0005029079359089165,0.12779073473856004,-0.007077738647719037,0.12798658628694817,0.6251050976952288,0.0
21,0.18926117425480812,-0.0006444633358999423,0.12778157774589424,-0.007077782358398834,0.1279774457251858,0.6249646645254266,0.0
22,0.19181668436984517,-0.000786019168052206,0.1277718289891793,-0.007077795312717399,0.12796771260645712,0.6248081479760662,0.0
23,0.19437199750727988,-0.0009275751459854696,0.12776195027461396,-0.007077800793059498,0.12795784931780918,0.6246420916269647,0.0
24,0.19692711315772196,-0.0010691312298701482,0.1277520877350713,-0.007077806451829101,0.12794800219166733,0.6244729966210371,0.0
